item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,new_line,chance_start,severity_start,question_end,if_phrase,x_label
1,Airplane Luggage,E,28,You are packing an item in your luggage for an airplane journey.,The graph below shows the chance ,of damage to the item for three randomly selected airlines.,,What is the chance ,What is the severity of consequences if ,your item is damaged?,If you fly with one of these airlines...,Airline
2,Flooding,E,30,You are going on a vacation to a remote island.,The graph below shows the chance ,of flooding at three randomly selected resorts on the island.,,What is the chance ,What is the severity of consequences if ,your resort is flooded?,If you take a vacation at one of these resorts...,Resort
3,Train Delays,E,39,You are catching a train to an important job interview.,The graph below shows the chance ,of significant delays for three randomly selected rail routes to your destination.,,What is the chance ,What is the severity of consequences if ,your train is delayed?,If you travel on one of these rail routes...,Route
4,Traffic Jams,E,36,You are driving to a wedding next month.,The graph below shows the chance ,of being caught in a traffic jam for three randomly selected routes to the venue.,,What is the chance ,What is the severity of consequences if ,you get caught in traffic?,If you travel on one these routes...,Route
5,Side Effects,F,30,You are taking a pharmaceutical drug which lists headaches as a possible side effect.,The graph below shows the chance ,of experiencing headaches for three randomly selected versions of this drug.,,What is the chance ,What is the severity of consequences if ,you experience a headache?,If you take one of these versions...,Version
6,Working Overtime,F,38,You are applying for jobs in an industry where employees can be asked to work overtime.,The graph below shows the chance ,of being asked to work overtime for three randomly selected companies.,,What is the chance ,What is the severity of consequences if ,you are asked to work overtime?,If you accept a job at one of these companies...,Company
7,Flight Delays,E,37,You are booking a flight.,The graph below shows the chance ,of delays for three randomly selected airlines going to your destination.,,What is the chance ,What is the severity of consequences if ,your flight is delayed?,If you fly with one of these airlines...,Airline
8,Investment,E,33,You are investing a month's wages to buy shares in a company.,The graph below shows the chance ,of making a loss on your investment after one year for three randomly selected companies.,,What is the chance ,What is the severity of consequences if ,you make a loss on your investment?,If you invest in one of these companies...,Company
9,Bus Delays,E,66,You are taking a bus to work.,The graph below shows the chance ,of being late to work for three randomly selected bus operators.,,What is the chance ,What is the severity of consequences if ,you are late for work?,If you take one of these buses...,Bus Operator
10,Bad Weather,F,69,You are going on a hiking trip this month.,The graph below shows the chance ,of bad weather for three randomly selected days this month.,,What is the chance ,What is the severity of consequences if ,you experience bad weather on your trip?,If you go hiking on one of these days...,Day
11,Recovering From Injury,E,29,You are starting to exercise again after recovering from injury.,The graph below shows the chance ,of your injury re-occuring for three randomly selected types of exercise.,,What is the chance ,What is the severity of consequences if ,your injury re-occurs?,If you take up one of these types of exercise...,Exercise
12,Appliance,F,32,You are buying a new kitchen appliance.,The graph below shows the chance ,of it breaking within 12 months for three randomly selected appliance manufacturers.,,What is the chance ,What is the severity of consequences if ,your applicance breaks within 12 months?,If you buy one of these appliances...,Manufacturer
13,Burger Van,F,38,You are placing a meat order for your burger van.,The graph below shows the chance ,of the meat going off within 72 hours for three randomly selected meat suppliers.,,What is the chance ,What is the severity of consequences if ,the meat goes off?,If you buy your meat from one of these suppliers...,Supplier
14,Theft,E,41,You are taking a vacation to a foreign city.,The graph below shows the chance ,of experiencing an attempt to steal personal belongings for three randomly selected districts.,,What is the chance ,What is the severity of consequences if ,you experience an attempt to steal your personal belongings?,If you stay in one of these districts...,District
15,Air Pollution,E,65,You are moving to a new city.,The graph below shows the chance ,of air pollution reaching unhealthy levels in the next 5 years for three randomly selected areas in the city.,,What is the chance ,What is the severity of consequences if ,air pollution reaches unhealthy levels?,If you move to one of these areas...,Area
