item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,chance_start,severity_start,question_end,if_phrase,x_label,graph_cat,chance_cat,severity_cat
1,Airplane Luggage,E,28,You are packing an item in your luggage for an airplane journey.,The graph below shows the chance ,of damage to the item for three randomly selected airlines.,What is the chance ,What is the severity of consequences if ,your item is damaged?,If you fly with one of these airlines...,Airline,The graph below shows the chance of damage to the item for three randomly selected airlines.,What is the chance your item is damaged?,What is the severity of consequences if your item is damaged?
2,Flooding,E,30,You are going on a vacation to a remote island.,The graph below shows the chance ,of flooding at three randomly selected resorts on the island.,What is the chance ,What is the severity of consequences if ,your resort is flooded?,If you take a vacation at one of these resorts...,Resort,The graph below shows the chance of flooding at three randomly selected resorts on the island.,What is the chance your resort is flooded?,What is the severity of consequences if your resort is flooded?
3,Train Delays,E,39,You are catching a train to an important job interview.,The graph below shows the chance ,of significant delays for three randomly selected rail routes to your destination.,What is the chance ,What is the severity of consequences if ,your train is delayed?,If you travel on one of these rail routes...,Route,The graph below shows the chance of significant delays for three randomly selected rail routes to your destination.,What is the chance your train is delayed?,What is the severity of consequences if your train is delayed?
4,Traffic Jams,E,36,You are driving to a wedding next month.,The graph below shows the chance ,of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance ,What is the severity of consequences if ,you get caught in traffic?,If you travel on one these routes...,Route,The graph below shows the chance of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance you get caught in traffic?,What is the severity of consequences if you get caught in traffic?
5,Side Effects,F,30,You are taking a pharmaceutical drug which lists headaches as a possible side effect.,The graph below shows the chance ,of experiencing headaches for three randomly selected versions of this drug.,What is the chance ,What is the severity of consequences if ,you experience a headache?,If you take one of these versions of the drug…,Version,The graph below shows the chance of experiencing headaches for three randomly selected versions of this drug.,What is the chance you experience a headache?,What is the severity of consequences if you experience a headache?
6,Working Overtime,F,38,You are applying for jobs in an industry where employees can be asked to work overtime.,The graph below shows the chance ,of being asked to work overtime for three randomly selected companies.,What is the chance ,What is the severity of consequences if ,you are asked to work overtime?,If you accept a job at one of these companies...,Company,The graph below shows the chance of being asked to work overtime for three randomly selected companies.,What is the chance you are asked to work overtime?,What is the severity of consequences if you are asked to work overtime?
7,Flight Delays,E,37,You are booking a flight.,The graph below shows the chance ,of delays for three randomly selected airlines going to your destination.,What is the chance ,What is the severity of consequences if ,your flight is delayed?,If you fly with one of these airlines...,Airline,The graph below shows the chance of delays for three randomly selected airlines going to your destination.,What is the chance your flight is delayed?,What is the severity of consequences if your flight is delayed?
8,Investment,E,33,You are investing a month's wages to buy shares in a company.,The graph below shows the chance ,of making a loss on your investment after one year for three randomly selected companies.,What is the chance ,What is the severity of consequences if ,you make a loss on your investment?,If you invest in one of these companies...,Company,The graph below shows the chance of making a loss on your investment after one year for three randomly selected companies.,What is the chance you make a loss on your investment?,What is the severity of consequences if you make a loss on your investment?
9,Bus Delays,E,66,You are taking a bus to work.,The graph below shows the chance ,of being late to work for three randomly selected bus operators.,What is the chance ,What is the severity of consequences if ,you are late for work?,If you take one of these buses...,Bus Operator,The graph below shows the chance of being late to work for three randomly selected bus operators.,What is the chance you are late for work?,What is the severity of consequences if you are late for work?
10,Bad Weather,F,69,You are going on a hiking trip this month.,The graph below shows the chance ,of bad weather for three randomly selected days this month.,What is the chance ,What is the severity of consequences if ,you experience bad weather on your trip?,If you go hiking on one of these days...,Day,The graph below shows the chance of bad weather for three randomly selected days this month.,What is the chance you experience bad weather on your trip?,What is the severity of consequences if you experience bad weather on your trip?
