participant,item_no,condition,chance_slider.response,severity_slider.response,literacy,data_mean
1,1,lo,3,3,4.6,28
1,35,lo,3,5,4.6,37
1,4,lo,2,3,4.6,36
1,20,lo,4,5,4.6,43
1,22,hi,5,3,4.6,64
1,24,hi,3,6,4.6,42
1,7,hi,3,2,4.6,37
1,15,lo,5,4,4.6,65
1,32,hi,3,5,4.6,31
1,17,hi,6,5,4.6,71
1,28,hi,5,4,4.6,68
1,3,hi,4,5,4.6,39
1,11,hi,3,4,4.6,29
1,21,lo,5,6,4.6,67
1,2,lo,3,4,4.6,30
1,8,lo,3,3,4.6,33
1,9,hi,5,3,4.6,66
1,23,lo,6,3,4.6,70
1,14,lo,4,4,4.6,41
1,31,hi,3,7,4.6,35
1,24,lo,3,6,4.6,42
1,20,hi,4,5,4.6,43
1,11,lo,3,4,4.6,29
1,32,lo,3,6,4.6,31
1,9,lo,5,3,4.6,66
1,31,lo,3,7,4.6,35
1,4,hi,3,2,4.6,36
1,28,lo,6,5,4.6,68
1,7,lo,3,3,4.6,37
1,21,hi,5,5,4.6,67
1,2,hi,3,4,4.6,30
1,14,hi,4,5,4.6,41
1,23,hi,6,2,4.6,70
1,3,lo,3,5,4.6,39
1,22,lo,5,3,4.6,64
1,1,hi,3,3,4.6,28
1,17,lo,5,3,4.6,71
1,8,hi,3,5,4.6,33
1,15,hi,5,5,4.6,65
1,35,hi,3,6,4.6,37
2,22,hi,5,5,3.6,64
2,11,hi,4,5,3.6,29
2,23,lo,6,4,3.6,70
2,3,hi,3,4,3.6,39
2,14,lo,4,5,3.6,41
2,17,hi,7,6,3.6,71
2,24,hi,4,6,3.6,42
2,15,lo,5,6,3.6,65
2,9,hi,5,3,3.6,66
2,31,hi,5,6,3.6,35
2,8,lo,3,7,3.6,33
2,7,hi,3,3,3.6,37
2,20,lo,4,6,3.6,43
2,35,lo,4,7,3.6,37
2,21,lo,5,4,3.6,67
2,32,hi,4,6,3.6,31
2,4,lo,3,4,3.6,36
2,28,hi,6,6,3.6,68
2,1,lo,3,4,3.6,28
2,2,lo,4,6,3.6,30
2,8,hi,3,6,3.6,33
2,31,lo,4,6,3.6,35
2,15,hi,5,6,3.6,65
2,22,lo,5,6,3.6,64
2,20,hi,5,7,3.6,43
2,4,hi,3,3,3.6,36
2,24,lo,4,6,3.6,42
2,23,hi,6,5,3.6,70
2,9,lo,5,3,3.6,66
